,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Washer_No,Dryer_No,Spectacles,Race_chinese,Race_foreigner ,Race_indian,Race_malay,Attire_casual,Attire_formal,Attire_traditional,Wash_Item_blankets,Wash_Item_clothes
325,1,1,55.0,0,1,0,2,9,1,6,1,6,7,1,0,0,0,1,1,0,0,0,1
326,0,2,37.0,0,1,0,9,0,0,2,0,5,10,0,0,0,0,1,1,0,0,0,1
327,1,2,37.0,0,1,0,1,0,1,5,0,4,7,0,1,0,0,0,1,0,0,0,1
328,1,1,31.0,0,1,0,8,4,1,7,0,6,7,0,0,0,1,0,1,0,0,0,1
329,0,1,42.0,0,1,1,1,9,0,11,0,6,9,0,0,1,0,0,0,0,1,0,1
330,0,2,46.0,0,1,0,8,4,0,6,0,5,10,0,0,1,0,0,0,0,1,0,1
331,1,0,50.0,1,4,0,9,10,0,12,0,3,7,0,0,0,0,1,0,0,1,0,1
332,1,0,51.0,1,4,0,9,9,1,7,0,4,9,1,1,0,0,0,1,0,0,1,0
333,1,2,30.0,0,1,0,9,10,1,7,1,5,7,0,0,0,1,0,1,0,0,0,1
334,1,1,47.0,0,1,0,6,0,1,5,0,5,8,0,0,0,0,1,1,0,0,0,1
335,1,1,33.0,0,1,0,9,2,1,7,0,6,7,0,0,1,0,0,1,0,0,0,1
336,0,1,29.0,1,0,0,6,0,1,4,0,4,8,0,0,0,0,1,1,0,0,0,1
337,0,2,54.0,0,1,0,9,0,1,4,1,3,8,0,0,0,1,0,1,0,0,0,1
338,1,1,35.0,0,1,0,3,10,1,0,1,3,8,0,0,0,1,0,1,0,0,0,1
339,0,1,45.0,1,2,0,2,0,1,4,0,5,9,0,0,0,0,1,1,0,0,0,1
340,1,2,53.0,0,1,0,9,10,1,0,0,4,10,0,1,0,0,0,1,0,0,0,1
341,0,2,48.0,0,1,0,0,9,1,0,0,3,7,0,0,0,0,1,1,0,0,0,1
342,0,2,36.0,0,1,0,0,9,0,0,0,3,7,0,0,0,1,0,0,1,0,1,0
343,1,1,45.0,0,1,0,8,5,1,0,1,4,9,0,1,0,0,0,1,0,0,0,1
344,1,0,41.0,0,1,0,3,5,1,5,1,5,9,1,1,0,0,0,1,0,0,0,1
345,0,2,54.0,1,2,0,9,0,0,0,0,6,8,0,0,0,0,1,1,0,0,0,1
346,1,2,35.0,0,1,0,3,5,1,7,0,3,8,1,0,0,1,0,1,0,0,1,0
347,0,1,46.0,1,4,0,8,10,1,10,1,3,8,0,0,0,1,0,1,0,0,0,1
348,0,2,53.0,1,0,0,8,10,1,0,0,4,8,0,0,0,1,0,1,0,0,0,1
349,0,0,38.0,0,1,0,8,10,1,0,0,6,10,0,0,0,0,1,1,0,0,0,1
350,1,1,39.0,0,1,0,1,7,1,12,1,5,10,1,0,0,1,0,1,0,0,0,1
351,0,0,32.0,1,2,0,8,10,0,0,0,3,10,0,0,0,0,1,0,0,1,0,1
352,1,1,37.0,0,1,0,9,0,1,4,0,6,9,0,1,0,0,0,1,0,0,0,1
353,1,1,53.0,0,1,0,5,10,1,7,1,5,8,0,0,0,1,0,1,0,0,1,0
354,1,2,53.0,0,1,0,10,0,1,5,0,5,7,0,1,0,0,0,1,0,0,0,1
355,1,2,48.0,1,2,0,10,0,1,0,0,5,9,0,1,0,0,0,1,0,0,0,1
356,1,0,50.0,1,4,0,9,3,1,4,0,4,7,0,0,0,0,1,1,0,0,1,0
357,1,2,53.0,0,1,0,1,0,1,7,0,4,10,0,0,0,1,0,1,0,0,0,1
358,0,0,49.0,0,1,0,10,8,0,6,0,3,10,0,0,0,0,1,1,0,0,0,1
359,1,2,41.0,1,4,0,5,9,1,7,0,6,10,0,0,0,1,0,0,1,0,0,1
360,1,1,30.0,0,1,0,9,8,1,4,0,5,8,1,0,0,1,0,1,0,0,1,0
361,0,2,54.0,1,0,0,9,9,1,0,0,6,8,0,1,0,0,0,1,0,0,1,0
362,1,2,50.0,1,4,0,1,10,1,4,0,4,8,0,0,0,0,1,1,0,0,0,1
363,0,2,35.0,0,1,0,1,2,1,2,1,6,10,0,0,0,1,0,1,0,0,1,0
364,0,2,46.0,0,1,0,9,9,1,0,1,4,10,0,0,0,1,0,1,0,0,0,1
365,1,2,51.0,0,1,0,1,0,0,5,0,3,7,0,0,0,1,0,1,0,0,0,1
